Year,Region,Dwelling population (persons),At risk of poverty rate (threshold 60% of median) (%),At risk of poverty rate of children in dwelling population (%),Gini coefficient (gross income) (%)
2023,SK141 Suupohja,19970,16.3,15.2,29.3
2023,SK142 Seinäjoki,129794,12.4,10.6,28.5
2023,SK144 Kuusiokunnat,19216,15.3,15.3,28.9
2023,SK146 Järviseutu,18258,15.3,16.1,27.8
2023,SK152 Vaasa,108338,13.6,11.2,30.3
2023,SK153 Sydösterbotten,16640,12.6,13.2,28.9
2023,SK154 Jakobstadsregionen,49564,10.1,10.7,27.2
2023,SK161 Kaustinen,13962,14.1,16.8,26.6
2023,SK162 Kokkola,52578,11.7,10.9,28
2023,SK171 Oulu,258495,14.4,12.4,31.8
2023,SK173 Oulunkaari,21862,15.9,17.7,27.5
2023,SK174 Raahe,31053,13.1,14.9,27.1
2023,SK175 Haapavesi-Siikalatva,12792,15.4,15.6,26.5
2023,SK176 Nivala-Haapajärvi,26317,15.5,16.4,27.4
2023,SK177 Ylivieska,42060,14.1,15.8,29.1
2023,SK178 Koillismaa,18224,14.2,16.8,30
2023,SK181 Kehys-Kainuu,18674,17.4,14.4,27.8
2023,SK182 Kajaani,49675,14.5,12.9,30.3
2023,SK191 Rovaniemi,67457,13.7,11,29.4
2023,SK192 Kemi-Tornio,52666,13.2,12.7,28
2023,SK193 Torniolaakso,6771,15,15.5,28.7
2023,SK194 Itä-Lappi,14495,16.3,15.7,26.8
2023,SK196 Tunturi-Lappi,13394,11.8,11.4,28.3
2023,SK197 Pohjois-Lappi,15520,11,9.2,27
2023,SK211 Mariehamns stad,11572,11.1,11.7,35.9
2023,SK212 Ålands landsbygd,16379,8,8.9,27.9
2023,SK213 Ålands skärgård,1972,13.9,25.9,34.1
